word,definition,part of speech,example,source
issue,a topic or situation to talk about a problem,"noun, noun","In order to define what jazz music is, we need to look at a few different issues. Monarchies (governments with kings or queens) often have several common issues.",Magoosh
modify,to make small changes or add to,verb,"The first bicycles were slow and difficult to use, but they were modified over time.",Magoosh
establish,"to build, to create (a system, organization, or idea)",verb,The U.S. government was established in the late 1700s.,Magoosh
concept,an abstract idea,noun,Some concepts within advanced mathematics are hard to show in the real world.,Magoosh
overall,"looking at or including all pieces or factors in general, for the most part","adjective, adverb","Some words might be new and difficult, but the overall meaning of the sentence is clear. Overall, Americans eat a lot of beef, especially compared to people in other countries.",Magoosh
assess,to look closely at and figure out the value or type of something,verb,"Before buying a house, you should always assess the building carefully.",Magoosh
whereas,although (used to contrast two different things),conjunction,Lemons are very sour whereas most fruits are sweet.,Magoosh
predict,to say something will happen in the future,verb,"Charlie Chaplin predicted that movies would never become popular. He was wrong, clearly.",Magoosh
adjust,to change or move a little and make better or more accurate,verb,The colors on this TV screen are wrong. I'll adjust them.,Magoosh
approach,to move closer to something or someone a way to do something,"verb, noun","The sign at the park said clearly, ""Do not approach wild animals! They will bite."" The new CEO had a very strange approach to management, letting his employees sleep whenever they wanted.",Magoosh
contrast,to be clearly different from to look specifically at the differences between two things,"verb, verb","The zebra's black and white stripes contrast clearly with the yellow grass around it. By contrasting the vocabulary of French and Spanish, we can see their different histories.",Magoosh
method,"how to do something, a process",noun,The Spanish method of making chocolate created a completely new drink.,Magoosh
instance,"an example, a case",noun,Two animals in Australia (platypuses and echidnas) are the only instances of animals with hair that lay eggs.,Magoosh
substitute,to take out and put something else in the same place (usually something worse) something that goes in the place of the normal thing,"verb, noun","Because we didn't have any, we substituted the sugar with juice. Many smokers who try to quit use chewing gum as a substitute for cigarettes.",Magoosh
fundamental,"basic, central extremely important","adjective, adjective",Alice believes that women are fundamentally different from men. The fundamental beliefs of most religions are peaceful.,Magoosh
adequate,good enough for what is needed,adjective,A very light jacket will be adequate for Los Angeles's warm winter.,Magoosh
context,"the information or situation around an idea, event, or something that is said",noun,"When you have difficulty understanding a new word, look at the context. The sentence around the word might tell the meaning.",Magoosh
stress,"to place extra importance on one part extra importance placed on one part pressure, strain, tension; worry","verb, noun, noun","If you stress the wrong words or sounds when speaking English, you may not be understood. I believe we should place greater stress on improving education. Final exams are soon, so stress levels are high among students.",Magoosh
sufficient,enough in amount for what is needed,adjective,"Because of weather changes, farms couldn't grow sufficient rice to feed the country last year.",Magoosh
consume,to eat to use up (a resource) ,"verb, verb, ","Yeast, which is used to make beer, consumes sugars to create alcohol. No country consumes more oil than the U.S.A. does.",Magoosh
