WordId,TestId,PartOfSpeech,Description,Example,Source
0,3,noun,a topic or situation to talk about a problem,"In order to define what jazz music is, we need to look at a few different issues. Monarchies (governments with kings or queens) often have several common issues.",Magoosh
1,3,verb,to make small changes or add to,"The first bicycles were slow and difficult to use, but they were modified over time.",Magoosh
2,3,verb,"to build, to create (a system, organization, or idea)",The U.S. government was established in the late 1700s.,Magoosh
3,3,noun,an abstract idea,Some concepts within advanced mathematics are hard to show in the real world.,Magoosh
4,3,adjective,"looking at or including all pieces or factors in general, for the most part","Some words might be new and difficult, but the overall meaning of the sentence is clear. Overall, Americans eat a lot of beef, especially compared to people in other countries.",Magoosh
5,3,verb,to look closely at and figure out the value or type of something,"Before buying a house, you should always assess the building carefully.",Magoosh
6,3,conjunction,although (used to contrast two different things),Lemons are very sour whereas most fruits are sweet.,Magoosh
7,3,verb,to say something will happen in the future,"Charlie Chaplin predicted that movies would never become popular. He was wrong, clearly.",Magoosh
8,3,verb,to change or move a little and make better or more accurate,The colors on this TV screen are wrong. I'll adjust them.,Magoosh
9,3,verb,to move closer to something or someone a way to do something,"The sign at the park said clearly, ""Do not approach wild animals! They will bite."" The new CEO had a very strange approach to management, letting his employees sleep whenever they wanted.",Magoosh
10,3,verb,to be clearly different from to look specifically at the differences between two things,"The zebra's black and white stripes contrast clearly with the yellow grass around it. By contrasting the vocabulary of French and Spanish, we can see their different histories.",Magoosh
11,3,noun,"how to do something, a process",The Spanish method of making chocolate created a completely new drink.,Magoosh
12,3,noun,"an example, a case",Two animals in Australia (platypuses and echidnas) are the only instances of animals with hair that lay eggs.,Magoosh
13,3,verb,to take out and put something else in the same place (usually something worse) something that goes in the place of the normal thing,"Because we didn't have any, we substituted the sugar with juice. Many smokers who try to quit use chewing gum as a substitute for cigarettes.",Magoosh
14,3,adjective,"basic, central extremely important",Alice believes that women are fundamentally different from men. The fundamental beliefs of most religions are peaceful.,Magoosh
15,3,adjective,good enough for what is needed,A very light jacket will be adequate for Los Angeles's warm winter.,Magoosh
